Event,KE_e,x,y,z
168,2.26659,-184.189,-22.9448,215
169,2.8459,-153.014,-254.148,215
170,2.00665,395.026,-134.122,215
171,3.4886,515,-14.9096,-107.099
172,5.65151,32.6713,-290.088,-515
173,4.62918,111.323,-154.011,215
174,4.65065,-149.013,-85.3763,215
175,5.48122,-237.815,-515,173.468
176,3.90708,-515,-157.086,24.784
177,0.6175,-515,2.33884,-374.654
178,3.11481,-515,-82.8255,-229.576
179,7.46634,105.621,-38.7855,215
180,1.68099,-59.2635,48.8497,-515
181,4.50917,-51.2018,-17.8709,215
182,4.0974,-241.337,92.4733,215
183,5.42815,-139.169,408.043,215
184,1.53006,228.584,61.6333,215
185,5.78866,-27.7585,-232.618,215
186,4.96553,-515,-328.774,-371.622
187,3.07591,-384.368,276.67,-515
188,2.46135,-472.041,-515,110.026
189,5.88442,-159.029,-143.122,-515
190,6.28971,283.367,-515,-134.793
191,3.01981,-515,430.359,-393.626
192,6.56405,213.418,515,66.2066
193,1.91877,294.84,132.812,-515
194,4.21882,-184.327,-58.4545,-515
195,5.62436,-44.1286,-125.074,215
196,4.97967,-408.347,-350.399,215
197,3.82144,463.763,515,-247.899
198,0.187582,278.974,400.144,215
199,1.01157,-33.7375,309.625,215
200,0.168221,-159.561,-154.29,215
201,3.58689,404.239,88.0107,215
202,1.04314,-372.238,-192.358,-515
203,6.66676,-357.915,-413.809,215
204,7.17245,497.527,515,12.3706
205,3.22009,240.258,126.42,215
206,2.33859,104.508,515,-54.015
207,6.77227,114.045,-515,-445.246
208,4.70863,109.153,515,-92.3512
209,3.94826,196.3,515,76.6611
210,3.98481,-206.896,-14.1297,215
211,3.18879,175.005,-3.53877,215
212,1.48884,-515,-24.6967,-10.6492
213,5.80032,-132.362,-247.705,-515
214,5.01329,19.1046,515,-236.649
215,4.22689,-243.77,515,115.504
216,4.44854,42.5285,59.9599,215
217,0.998626,-348.072,19.4202,215
218,0.395658,-286.411,-53.5555,-515
219,2.95921,-210.724,-490.974,215
220,0.611015,515,-73.9328,-8.9617
221,0.223959,440.416,-202.72,215
222,9.11958,268.123,313.212,-515
223,4.01858,515,107.709,22.5111
224,6.05457,282.393,139.601,-515
225,6.42402,-53.2898,-255.902,215
226,3.83459,-515,204.525,-339.138
227,4.83861,-323.776,-108.106,-515
228,4.24778,-515,-0.299329,201.457
229,1.1509,284.15,515,84.002
230,3.22987,-33.1785,-515,-403.071
231,4.8795,-515,394.55,160.413
232,2.70053,-207.973,-515,-107.437
233,0.231952,49.8029,105.682,215
234,2.7168,515,190.854,-279.765
235,4.69635,-515,-107.5,-226.051
236,7.52242,-220.721,200.545,215
237,5.0101,-515,453.123,146.702
238,4.31181,326.313,-515,-266.7
239,2.20195,-515,218.387,116.942
240,3.77292,324.172,-515,47.0642
241,2.6088,439.937,201.58,215
242,4.25512,-46.7176,70.908,215
243,2.14306,-74.9898,68.5285,215
244,2.80948,185.114,-108.294,215
245,4.7893,-109.084,31.9049,215
246,5.88843,28.8858,31.9638,215
247,3.93299,48.5941,515,195.618
248,4.22629,106.902,-469.591,215
249,4.77509,-515,403.18,-65.9791
250,6.93536,515,226.327,107.476
251,2.11711,-326.342,515,75.1897
252,5.158,17.2423,515,-88.856
253,9.01888,214.78,-128.876,-515
254,2.87476,200.217,-515,-407.388
255,2.86223,-16.0051,379.991,215
256,1.38349,515,-405.308,-358.359
257,6.6671,-103.59,224.639,215
258,4.09209,515,-508.93,186.905
